face wash,5380,,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be is a best-selling 2018 self-help book by Rachel Hollis
Girl, Wash Your Face is described by The Washington Post as mixing ""memoir, motivational tips, Bible quotations and common-sense girl talk
"" The prevailing message of her tome is one largely of female self-reliance, best summed up by Hollis in the book as ""You, and only you, are ultimately responsible for how happy you are
"" The book has been wildly successful, described as a ""publishing phenomenon"" and was the second-most popular book of 2018 on Amazon
com
 Girl, Wash Your Face is listed as a New York Times best-seller under the Advice, How-To, & Miscellaneous category
The book is composed of 20 chapters centered on 20 lies Hollis said she formerly told herself—e
g
 ""I'll start tomorrow"" and ""I am defined by my weight""—and she goes on to explain how she successfully tackled each obstacle



== Reception ==
The Gospel Coalition's Alisa Childers said Hollis can ""tell a story that will have you crying one minute and shooting Diet Coke out of your nose the next"" but ultimately was conflicted with the overall book
 While Childers was sympathetic to many of the themes contained in the book, she felt that despite being marketed as a Christian book, its core message of lifting oneself up by their bootstraps as the solution to any problem came in lieu of ""surrendering your life to Jesus and placing your trust in him alone
"" She also acknowledged that the book ""exhausted"" her
"
nail file,211791,,"A nail file is a tool used to gently grind down and shape the edges of nails
 They are often used in manicures and pedicures after the nail has been trimmed using appropriate nail clippers
  Nail files may either be emery boards, ceramic, glass, crystal, plain metal files or metal files coated with corundum

A nail drill is a powered rotary tool, which is used by a nail technician to file nails



== Materials ==


=== Emery board ===

Emery boards are small flat long objects which have emery or emery paper glued to them, making them both abrasive and flexible, used for fingernail and toenail care
"
white out,683480,,"Wite-Out is a registered trademark for a brand of correction fluid, originally created for use with photocopies, and manufactured by the BIC corporation



== History ==
Wite-Out dates to 1966, when Edwin Johanknecht, an insurance-company clerk, sought to address a problem he observed in correction fluid available at the time: a tendency to smudge ink on  photostatic copies when it was applied
 Johanknecht enlisted the help of his associate George Kloosterhouse, a basement waterproofer who experimented with chemicals, and together they developed their own correction fluid, introduced as ""Wite-Out WO-1 Erasing Liquid""

In 1971, they incorporated as Wite-Out Products, Inc
 The trademark ""Wite-Out"" was registered by the United States Patent and Trademark Office on February 5, 1974
"
piano,384535,,"The piano is an acoustic, stringed musical instrument invented in Italy by Bartolomeo Cristofori around the year 1700 (the exact year is uncertain), in which the strings are struck by hammers
 It is played using a keyboard, which is a row of keys (small levers) that the performer presses down or strikes with the fingers and thumbs of both hands to cause the hammers to strike the strings

The word piano is a shortened form of pianoforte, the Italian term for the early 1700s versions of the instrument,  which in turn derives from gravicembalo col piano e forte and fortepiano
 The Italian musical terms piano and forte indicate ""soft"" and ""loud"" respectively, in this context referring to the variations in volume (i
e
, loudness) produced in response to a pianist's touch or pressure on the keys: the greater the velocity of a key press, the greater the force of the hammer hitting the strings, and the louder the sound of the note produced and the stronger the attack
 The name was created as a contrast to harpsichord, a musical instrument that does not allow variation in volume; compared to the harpsichord, the first fortepianos in the 1700s had a quieter sound and smaller dynamic range
An acoustic piano usually has a protective wooden case surrounding the soundboard and metal strings, which are strung under great tension on a heavy metal frame
"
Sewing needle,523494,,"A sewing needle, used for hand-sewing, is a long slender tool with a pointed tip at one end and a hole (or eye) at the other
 The earliest needles were made of bone or wood; modern needles are manufactured from high carbon steel wire and are nickel- or 18K gold-plated for corrosion resistance
 High quality embroidery needles are plated with two-thirds platinum and one-third titanium alloy
 Traditionally, needles have been kept in needle books or needlecases which have become objects of adornment
 Sewing needles may also be kept in an étui, a small box that held needles and other items such as scissors, pencils and tweezers
"
rubber band,97672,,"A rubber band (also known as an elastic band, gum band or lacky band) is a loop of rubber, usually ring shaped, and commonly used to hold multiple objects together
 The rubber band was patented in England on March 17, 1845 by Stephen Perry
 Most rubber bands are manufactured out of natural rubber or, especially at larger sizes, elastomer, and are sold in a variety of sizes



== Manufacturing ==
Rubber bands are made by extruding the rubber into a long tube to provide its general shape, putting the tubes on mandrels, curing the rubber with heat, and then slicing it across the width of the tube into little bands
 This causes the tube to split into multiple sections, creating a rubber band
"
ipad,720184,,"iPad ( EYE-pad) is a line of tablet computers designed, developed and marketed by Apple Inc
, which run the iOS and iPadOS  mobile operating systems
  The first iPad was released on April 3, 2010; the most recent iPad models are the seventh-generation iPad, released on September 25, 2019; the fifth-generation iPad mini, released on March 18, 2019; the third-generation iPad Air, released on March 18, 2019; and the 11-inch (280 mm) and third-generation 12
9-inch (330 mm) iPad Pro, released on November 7, 2018

As of May 2017, Apple has sold more than 360 million iPads, though sales peaked in 2013
 It is the most popular tablet computer by sales as of the second quarter of 2018
The user interface is built around the device's multi-touch screen, including a virtual keyboard
 All iPads can connect using Wi-Fi; some models also have cellular connectivity
"
shawl,478233,,"A shawl (from Persian: lang-Urdu شال‎ shāl, which may be from Hindi: दुशाला duśālā, ultimately from Sanskrit: शाटी śāṭī) is a simple item of clothing, loosely worn over the shoulders, upper body and arms, and sometimes also over the head
 It is usually a rectangular or square piece of cloth, which is often folded to make a triangle, but can also be triangular in shape
 Other shapes include oblong shawls



== History ==
The words ""shawl"" and ""pashmina"" come from Kashmir, but originate from Hamedan, Iran
 Sources report cashmere crafts were introduced by Sayeed Ali Hamadani, when the 14th century came to Ladakh, homeland of pashmina goats, where, for the first time in history, he found that the Ladakhi Kashmiri goats produced soft wool
"
eye liner,134531,,"Eye liner or eyeliner is a cosmetic used to define the eyes
 It is applied around the contours of the eye(s) to create a variety of aesthetic effects



== History ==

Eye liner was first used in Ancient Egypt and Mesopotamia as a dark black line around the eyes
 As early as 10,000 BC, Egyptians and Mesopotamians wore various cosmetics including eye liner not only for aesthetics but to protect the skin from the desert sun
  Research has also speculated that eye liner was worn to protect the wearer from the evil eye
"
tooth picks,827218,,"A toothpick is a small thin stick of wood, plastic, bamboo, metal, bone or other substance with at least one and sometimes two sharp ends to insert between teeth to remove detritus, usually after a meal
  Toothpicks are also used for festive occasions to hold or spear small appetizers (like cheese cubes or olives) or as a cocktail stick, and can be decorated with plastic frills or small paper umbrellas or flags



== History ==
Known in all cultures, the toothpick is not just the oldest instrument for dental cleaning, but predates the arrival of early modern humans, for the skulls of Neanderthals, as well as Homo sapiens, show clear signs of teeth picked with a tool
 Toothpicks made of bronze have been found as burial objects in prehistoric graves in Northern Italy and in the East Alps
 In 1986, researchers in Florida discovered the 7500-year-old remains of ancient Native Americans and discovered small grooves between many of the molar teeth
"
credit card,441631,,"A credit card is a payment card issued to users (cardholders) to enable the cardholder to pay a merchant for goods and services based on the cardholder's promise to the card issuer to pay them for the amounts plus the other agreed charges
 The card issuer (usually a bank) creates a revolving account and grants a line of credit to the cardholder, from which the cardholder can borrow money for payment to a merchant or as a cash advance

A credit card is different from a charge card, which requires the balance to be repaid in full each month
 In contrast, credit cards allow the consumers to build a continuing balance of debt, subject to interest being charged
 A credit card also differs from a cash card, which can be used like currency by the owner of the card
"
paint brush,160397,,"A paintbrush is a brush used to apply paint or sometimes ink
 A paintbrush is usually made by clamping the bristles to a handle with a ferrule
 They are available in various sizes, shapes, and materials
 Thicker ones are used for filling in, and thinner ones are used for details
 They may be subdivided into decorators' brushes used for painting and decorating and artists' brushes use for visual art
"
pillow,341568,,"A pillow is a support of the body at rest for comfort, therapy, or decoration
 Pillows are used by many species, including humans
 Some types of pillows include throw pillows, body pillows, decorative pillows and many more
 Pillows that aid sleeping are a form of bedding that supports the head and neck
 Other types of pillows are designed to support the body when lying down or sitting
"
sticky note,829517,,"A Post-it Note (or sticky note) is a small piece of paper with a re-adherable strip of glue on its back, made for temporarily attaching notes to documents and other surfaces
 A low-tack pressure-sensitive adhesive allows the notes to be easily attached, removed and even re-posted elsewhere without leaving residue
 Originally small yellow squares, Post-it Notes and related products are available in various colors, shapes, sizes and adhesive strengths
 As of 2019, there are at least 26 documented colors of Post-it Notes
Although 3M's patent expired in 1997, ""Post-it"" and the original notes' distinctive yellow color remain registered company trademarks, with terms such as ""repositionable notes"" used for similar offerings manufactured by competitors
 While use of the trademark 'Post-it' in a representative sense refers to any sticky note, no legal authority has ever held the trademark to be generic
"
ear phones,965712,,"Apple Inc
 has produced and sold numerous in-ear headphones since 2001, available for standalone purchase and bundled with iPhone and iPod products
 Apple's current product line consists of EarPods, wired earbuds available with a 3.5mm headphone or Lightning connector, and AirPods and AirPods Pro, wireless Bluetooth earbuds



== Bundled earbuds ==


=== Classic round design earbuds ===

Apple's original earbuds shipped with the original iPod, released on October 23, 2001
 They were never given a formal name and were referred to variously as ""iPod headphones"" and ""the iPod's earbud-style headphones""
"
bananas,723815,,"A banana is an edible fruit – botanically a berry – produced by several kinds of large herbaceous flowering plants in the genus Musa
 In some countries, bananas used for cooking may be called ""plantains"", distinguishing them from dessert bananas
 The fruit is variable in size, color, and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind, which may be green, yellow, red, purple, or brown when ripe
 The fruits grow in clusters hanging from the top of the plant
 Almost all modern edible seedless (parthenocarp) bananas come from two wild species – Musa acuminata and Musa balbisiana
"
air conditioner,833690,,"Air conditioning (often referred to as AC, A/C,) is the process of removing heat and moisture from the interior of an occupied space to improve the comfort of occupants
 Air conditioning can be used in both domestic and commercial environments
 This process is most commonly used to achieve a more comfortable interior environment, typically for humans and other animals; however, air conditioning is also used to cool and dehumidify rooms filled with heat-producing electronic devices, such as computer servers, power amplifiers, and to display and store some delicate products, such as artwork

Air conditioners often use a fan to distribute the conditioned air to an occupied space such as a building or a car to improve thermal comfort and indoor air quality
 Electric refrigerant-based AC units range from small units that can cool a small bedroom, which can be carried by a single adult, to massive units installed on the roof of office towers that can cool an entire building
"
scotch tape,853188,,"Scotch Tape is a brand name used for pressure-sensitive tapes manufactured by 3M as part of the company's Scotch brand
 Their magnetic recording tape products were also sold under the Scotch brand



== History ==
The precursor to the current tapes was developed in the 1930s in St
 Paul, Minnesota by Richard Drew to seal a then-new transparent material known as cellophane



== Trade names ==

Although it is a trademark and a brand name, Scotch tape is sometimes used  as a generic term
"
chalk,480480,,"Chalk is a soft, white, porous, sedimentary carbonate rock, a form of limestone composed of the mineral calcite
 Calcite is an ionic salt called calcium carbonate or CaCO3
 It forms under reasonably deep marine conditions from the gradual accumulation of minute calcite shells (coccoliths) shed from micro-organisms called coccolithophores
 Flint (a type of chert) is very common as bands parallel to the bedding or as nodules embedded in chalk
 It is probably derived from sponge spicules or other siliceous organisms as water is expelled upwards during compaction
"
sketch pad,800881,,"Crashbox is a Canadian-American educational children's television show that airs on the HBO Family digital cable television channel in the United States and Asia and ran from 1999 to 2000
 It aims to educate grade-school children in history, math, vocabulary, and other various subjects

Crashbox was one of the cornerstone programs for the relaunch of the HBO Family channel in February 1999
 The series has never been released on DVD or VHS, but reruns air on HBO Family to this day



== Creation team ==
Crashbox was created by Planet Grande Pictures (consisting of Eamon Harrington and John Watkin) and is animated by Cuppa Coffee Studios, headed by Adam Shaheen
"
leg warmers,50202,,"Leg warmers are coverings for the lower legs, similar to socks but thicker and generally footless
 Leg warmers are worn to keep the lower legs warm in colder weather
 They can be tubular sleeves, long fabric wrappings, or simple pieces of fur or fabric tied around the calves
 They are used in several outdoor activities and sports including cycling, soccer, hockey, hiking, ice skating, and dance

They are used as dancewear by ballet and other classic dancers in order to keep the leg muscles warm and to prevent cramping or other muscle injuries
"
sun glasses,945660,,"Sunglasses or sun glasses (informally called shades) are a form of protective eyewear designed primarily to prevent bright sunlight and high-energy visible light from damaging or discomforting the eyes
 They can sometimes also function as a visual aid, as variously termed spectacles or glasses exist, featuring lenses that are colored, polarized or darkened
 In the early 20th century, they were also known as sun cheaters (cheaters then being an American slang term for glasses)
The American Optometric Association recommends wearing sunglasses that block ultraviolet radiation (UV) whenever a person is in the sunlight to protect the eyes from  UV and blue light, which can cause several serious eye problems
 Its usage is mandatory immediately after some surgical procedures, such as LASIK, and recommended for a certain time period in dusty areas, when leaving the house and in front of a TV screen or computer monitor after LASEK
 It is important to note that dark glasses that do not block UV radiation can be more damaging to the eyes than not wearing eye protection at all, since they tend to open the pupil and allow more UV rays into the eye
 Since the 1940s, sunglasses have been a popular fashion accessory, especially on the beach
"
clothes,785296,,"Clothing (also known as clothes, apparel and attire) is items worn on the body
 Clothing is typically made of fabrics or textiles but over time has included garments made from animal skin or other thin sheets of materials put together
 The wearing of clothing is mostly restricted to human beings and is a feature of all human societies
 The amount and type of clothing worn depends on gender, body type, social, and geographic considerations

Clothing serves many purposes: it can serve as protection from the elements, rough surfaces, rash-causing plants, insect bites, splinters, thorns and prickles by providing a barrier between the skin and the environment
"
perfume,825905,,"Perfume (UK: , US: ; French: parfum) is a mixture of fragrant essential oils or aroma compounds, fixatives and solvents, used to give the human body, animals, food, objects, and living-spaces an agreeable scent

It is usually in liquid form and used to give a pleasant scent to a person's body

Ancient texts and archaeological excavations show the use of perfumes in some of the earliest human civilizations
 Modern perfumery began in the late 19th century with the commercial synthesis of aroma compounds such as vanillin or coumarin, which allowed for the composition of perfumes with smells previously unattainable solely from natural aromatics alone



== History ==

The word perfume derives from the Latin perfumare, meaning ""to smoke through""
"
flowers,133735,,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Magnoliophyta, also called angiosperms)
 The biological function of a flower is to affect reproduction, usually by providing a mechanism for the union of sperm with eggs
 Flowers may facilitate outcrossing (fusion of sperm and eggs from different individuals in a population) or allow selfing (fusion of sperm and egg from the same flower)
 Some flowers produce diaspores without fertilization (parthenocarpy)
 Flowers contain sporangia and are the site where gametophytes develop
"
bed,63771,,"A bed is a piece of furniture which is used as a place to sleep or relax
Most modern beds consist of a soft, cushioned mattress on a bed frame, the mattress resting either on a solid base, often wood slats, or a sprung base
 Many beds include a box spring inner-sprung base, which is a large mattress-sized box containing wood and springs that provide additional support and suspension for the mattress
 Beds are available in many sizes, ranging from infant-sized bassinets and cribs, to small beds for a single person or adult, to large queen and king-size beds designed for two people
 While most beds are single mattresses on a fixed frame, there are other varieties, such as the murphy bed, which folds into a wall, the sofa bed, which folds out of a sofa, and the bunk bed, which provides two mattresses on two tiers
 Temporary beds include the inflatable air mattress and the folding camp cot
"
mouse pad,593389,,"A mousepad is a surface for placing and moving a computer mouse
 A mousepad enhances the usability of the mouse compared to using a mouse directly on a table by providing a surface to allow it to measure movement accurately and without jitter
 Some mousepads increase ergonomics by providing a padded wrist rest



== History ==

During a 1968 presentation by Douglas Engelbart marking the public debut of a mouse, 
Engelbart used a control console designed by Jack Kelley of Herman Miller that included a keyboard and an inset portion used as a support area for the mouse

According to Kelley 
and also stated by Alex Pang, Kelley designed the first mousepad a year later, in 1969
"
watch,168585,,"A match is a tool for starting a fire
 Typically, matches are made of small wooden sticks or stiff paper
 One end is coated with a material that can be ignited by frictional heat generated by striking the match against a suitable surface
 Wooden matches are packaged in matchboxes, and paper matches are partially cut into rows and stapled into matchbooks
 The coated end of a match, known as the match ""head"", consists of a bead of active ingredients and  binder; often colored for easier inspection
"
chocolate,725791,,"Chocolate is a usually sweet, brown food preparation of roasted and ground cacao seeds that is made in the form of a liquid, paste, or in a block, or used as a flavoring ingredient in other foods
 The earliest evidence of use traces to the Olmecs (modern day Mexico), with evidence of chocolate beverages dating to 1900 BC
 The majority of Mesoamerican people made chocolate beverages, including the Maya and Aztecs
 The word ""chocolate"" is derived from the Classical Nahuatl word chocolātl
The seeds of the cacao tree have an intense bitter taste and must be fermented to develop the flavor
 After fermentation, the beans are dried, cleaned, and roasted
 The shell is removed to produce cacao nibs, which are then ground to cocoa mass, unadulterated chocolate in rough form
"
bucket,592893,,"A bucket is typically a watertight, vertical cylinder or truncated cone or square, with an open top and a flat bottom, attached to a semicircular carrying handle called the bail
A bucket is usually an open-top container
  In contrast, a pail can have a top or lid and is a shipping container
 In common usage, the two terms are often used interchangeably



== Types and uses ==
There are many types of buckets;

A water bucket is used to carry, water
Household and garden buckets are used for carrying liquids and granular products
Elaborate ceremonial or ritual buckets in bronze, ivory or other materials are found in several ancient or medieval cultures and are sometimes known by the Latin for bucket, situla
Large scoops or buckets are attached to loaders and telehandlers for agricultural and earth-moving purposes
Crusher buckets attached to excavators are used for crushing and recycling material in the Construction Industry
A lunch box is sometimes called a lunch pail, or a lunch bucket

Buckets can be re-purposed as seats, tool caddies, hydroponic gardens, chamber pots, ""street"" drums, or livestock feeders, or for long term food storage by survivalists
Buckets are often used as children's toys to shape and carry sand on a beach or in a sandpit
"
rusty nail,79532,,"A Rusty Nail is made by mixing Drambuie and Scotch whisky
 The drink was included in Difford's Guide's Top 100 Cocktails
A Rusty Nail can be served in an old-fashioned glass on the rocks, neat, or ""up"" in a stemmed glass
 It is most commonly served over ice
 A Rusty Nail served without ice is sometimes called a Straight Up Nail



== Variations ==
Versions of the drink can be made using any aged spirit, though blended Scotch whisky is traditional
Other variations include:

The Rusty Bob, which substitutes Bourbon whisky for blended Scotch whisky
The Rusty Ale, in which a shot of Drambuie is added to any beer, served without ice
"
blouse,474176,,"A blouse () is a loose-fitting upper garment that was formerly worn by workmen, peasants, artists, women, and children
  It is typically gathered at the waist or hips (by tight hem, pleats, parter, or belt) so that it hangs loosely (""blouses"") over the wearer's body
  Today, the word most commonly refers to a girl's or woman's dress shirt
 It can also refer to a man's shirt if it is a loose-fitting style (e
g
 poet shirts and Cossack shirts), though it rarely is
"
knife,296450,,"In humans and other primates, the knee joins the thigh with the leg and consists of two joints: one between the femur and tibia (tibiofemoral joint), and one between the femur and patella (patellofemoral joint)
 It is the largest joint in the human body
 The knee is a modified hinge joint, which permits flexion and extension as well as slight internal and external rotation
 The knee is vulnerable to injury and to the development of osteoarthritis

It is often termed a compound joint having tibiofemoral and patellofemoral components
"
sailboat,883423,,"A sailboat or sailing boat is a boat propelled partly or entirely by sails smaller than a sailing ship
 Distinctions in what constitutes a sailing boat and ship vary by region and maritime culture



== Types ==

Although sailboat terminology has varied across history, many terms have specific meanings in the context of modern yachting
 A great number of sailboat-types may be distinguished by size, hull configuration, keel type, purpose, number and configuration of masts, and sail plan

Popular monohull designs include:


=== Cutter ===

The cutter is similar to a sloop with a single mast and mainsail, but generally carries the mast further aft to allow for  a jib and staysail to be attached to the head stay and inner forestay, respectively
"
playing card,151258,,"A playing card is a piece of specially prepared card stock, heavy paper, thin cardboard, plastic-coated paper, cotton-paper blend, or thin plastic that is marked with distinguishing motifs
 Often the front (face) and back of each card has a finish to make handling easier
 They are most commonly used for playing card games, and are also used to perform magic tricks, for cardistry, in card throwing, and for building card houses
 Some types of cards such as tarot cards are also used for divination
 Playing cards are typically palm-sized for convenient handling, and usually are sold together in a set as a deck of cards or pack of cards
"
computer,244366,,"A computer is a machine that can be instructed to carry out sequences of arithmetic or logical operations automatically via computer programming
 Modern computers have the ability to follow generalized sets of operations, called programs
 These programs enable computers to perform an extremely wide range of tasks
 A ""complete"" computer including the hardware, the operating system (main software), and peripheral equipment required and used for ""full"" operation can be referred to as a computer system
 This term may as well be used for a group of computers that are connected and work together, in particular a computer network or computer cluster
"
paper,459642,,"Paper is a thin material produced by pressing together moist fibres of cellulose pulp derived from wood, rags or grasses, and drying them into flexible sheets

It is a versatile material with many uses, including writing, printing, packaging, cleaning, decorating, and a number of industrial and construction processes
 Papers are essential in legal or non-legal documentation

The pulp papermaking process developed in China during the early 2nd century CE, possibly as early as the year 105 CE, by the Han court eunuch Cai Lun, although the earliest archaeological fragments of paper derive from the 2nd century BCE in China

The modern pulp and paper industry is global, with China leading its production and the United States right behind it
"
USB drive,634963,,"A USB flash drive is a data storage device that includes flash memory with an integrated USB interface
 It is typically removable, rewritable and much smaller than an optical disc
 Most weigh less than 30 g (1 oz)
 Since first appearing on the market in late 2000, as with virtually all other computer memory devices, storage capacities have risen while prices have dropped
 As of March 2016, flash drives with anywhere from 8 to 256 GB were frequently sold, while 512 GB and 1 TB units were less frequent
"
brocolli,913126,,"Broccoli is an edible green plant in the cabbage family (family Brassicaceae, genus Brassica) whose large flowering head and stalk is eaten as a vegetable
 The word broccoli comes from the Italian plural of broccolo, which means ""the flowering crest of a cabbage"", and is the diminutive form of brocco, meaning ""small nail"" or ""sprout""
Broccoli is classified in the Italica cultivar group of the species Brassica oleracea
 Broccoli has large flower heads, usually dark green in color, arranged in a tree-like structure branching out from a thick stalk which is usually light green
 The mass of flower heads is surrounded by leaves
 Broccoli resembles cauliflower, which is a different cultivar group of the same Brassica species
"
door,365913,,"A door is a hinged or otherwise movable barrier that allows ingress and egress into an ""enclosure""
 The opening in the wall can be referred to as a ""portal""
 A door's essential and primary purpose is to provide security by controlling access to the portal (doorway)
 Conventionally, it is a panel that fits into the portal of a building, room, or vehicle
 Doors are commonly made of a material suited to the task of which it is to perform
"
packing peanuts,959313,,"Foam peanuts, also known as foam popcorn, packing peanuts  or packing noodles, are a common loose-fill packaging and cushioning material used to prevent damage to fragile objects during shipping
 They are shaped to interlock when compressed and free flow when not compressed
 They are roughly the size and shape of an unshelled peanut and commonly made of expanded polystyrene foam
 50–75 millimetres (2-3 in) of peanuts are typically used for cushioning and void filling packaging applications
 The original patent was filed for by Robert E
 Holden in 1962 and was granted in 1965
"
key chain,726710,,"A keychain, or keyring, is a small chain, usually made from metal or plastic, that connects a small item to a keyring
 The length of a keychain allows an item to be used more easily than if connected directly to a keyring
 Some keychains allow one or both ends the ability to rotate, keeping the keychain from becoming twisted, while the item is being used

A keychain can also be a connecting link between a keyring and the belt of an individual
 It is usually employed by personnel whose job demands frequent use of keys, such as a security guard, prison officer, janitor, or retail store manager
"
candy wrapper,657778,,"Candy, also called sweets (British English) or lollies (Australian English, New Zealand English), is a confection that features sugar as a principal ingredient
  The category, called sugar confectionery, encompasses any sweet confection, including chocolate, chewing gum, and sugar candy
 Vegetables, fruit, or nuts which have been glazed and coated with sugar are said to be candied

Physically, candy is characterized by the use of a significant amount of sugar or sugar substitutes
  Unlike a cake or loaf of bread that would be shared among many people, candies are usually made in smaller pieces
"
lace,670352,,"Lace is a delicate fabric made of yarn or thread in an open weblike pattern, made by machine or by hand

Originally linen, silk, gold, or silver threads were used
 Now lace is often made with cotton thread, although linen and silk threads are still available
 Manufactured lace may be made of synthetic fiber
 A few modern artists make lace with a fine copper or silver wire instead of thread
"
stockings,190254,,"Stockings (also known as hose, especially in a historical context) are close-fitting, variously elastic garments covering the leg from the foot up to the knee or possibly part or all of the thigh
 Stockings vary in color, design, and transparency
 Today, stockings are primarily worn for fashion and aesthetics, usually in association with mid-length or short skirts



== History ==

Historically, even though the word sock is at least as ancient in origin, what men normally wore were often referred to as stockings, probably especially when referring to longer hose
 The word stock used to refer to the bottom ""stump"" part of the body, and by analogy the word was used to refer to the one-piece covering of the lower trunk and limbs of the 15th century—essentially tights consisting of the upper-stocks (later to be worn separately as knee breeches) and nether-stocks (later to be worn separately as stockings)
"
